Ticker,Date,Actual,Estimate,Surprise,Startdate,Enddate
A,2017-11-20T16:00:00,0.67,0.624,7.4,2017-08-25T16:00:00,2018-01-04T16:00:00
AAL,2018-01-25T16:00:00,0.95,0.919,3.4,2017-10-27T16:00:00,2018-03-09T16:00:00
AAP,2018-02-21T16:00:00,0.77,0.634,21.5,2017-11-22T16:00:00,2018-04-05T16:00:00
AAPL,2017-11-02T16:00:00,2.07,1.87,10.7,2017-08-09T16:00:00,2017-12-15T16:00:00
ABBV,2018-01-26T16:00:00,1.48,1.447,2.3,2017-10-30T16:00:00,2018-03-12T16:00:00
ABC,2017-11-02T16:00:00,1.33,1.321,0.7,2017-08-09T16:00:00,2017-12-15T16:00:00
ABT,2018-01-24T16:00:00,0.74,0.732,1.1,2017-10-26T16:00:00,2018-03-08T16:00:00
ACN,2017-09-28T16:00:00,1.41,1.463,-3.5,2017-07-05T16:00:00,2017-11-09T16:00:00
ADBE,2017-12-14T16:00:00,1.26,1.157,8.9,2017-09-20T16:00:00,2018-01-30T16:00:00
ADI,2017-11-21T16:00:00,1.45,1.364,6.3,2017-08-28T16:00:00,2018-01-05T16:00:00
ADM,2018-02-06T16:00:00,0.82,0.7,17.1,2017-11-08T16:00:00,2018-03-21T16:00:00
ADP,2017-07-27T16:00:00,0.66,0.669,-1.3,2017-05-02T16:00:00,2017-09-08T16:00:00
ADS,2018-01-25T16:00:00,6.26,4.993,25.4,2017-10-27T16:00:00,2018-03-09T16:00:00
ADSK,2017-03-02T16:00:00,-0.28,-0.338,17.2,2016-12-02T16:00:00,2017-04-13T16:00:00
AEE,2018-02-16T16:00:00,0.39,0.357,9.2,2017-11-20T16:00:00,2018-04-03T16:00:00
AEP,2018-01-25T16:00:00,0.85,0.792,7.3,2017-10-27T16:00:00,2018-03-09T16:00:00
AES,2018-02-27T16:00:00,0.43,0.344,25,2017-11-29T16:00:00,2018-04-11T16:00:00
AET,2018-01-30T16:00:00,1.25,1.172,6.7,2017-11-01T16:00:00,2018-03-14T16:00:00
AFL,2018-01-31T16:00:00,0.8,0.777,3,2017-11-02T16:00:00,2018-03-15T16:00:00
AGN,2018-02-06T16:00:00,4.86,4.739,2.6,2017-11-08T16:00:00,2018-03-21T16:00:00
AIG,2018-02-08T16:00:00,0.57,0.714,-20.2,2017-11-10T16:00:00,2018-03-23T16:00:00
AIV,2018-02-01T16:00:00,0.63,0.631,-0.2,2017-11-03T16:00:00,2018-03-16T16:00:00
AIZ,2018-02-08T16:00:00,1.84,1.575,16.8,2017-11-10T16:00:00,2018-03-23T16:00:00
AJG,2018-01-25T16:00:00,0.82,0.744,10.2,2017-10-27T16:00:00,2018-03-09T16:00:00
AKAM,2018-02-06T16:00:00,0.69,0.629,9.7,2017-11-08T16:00:00,2018-03-21T16:00:00
ALB,2018-02-27T16:00:00,1.34,1.215,10.3,2017-11-29T16:00:00,2018-04-11T16:00:00
ALGN,2018-01-30T16:00:00,1.19,0.958,24.2,2017-11-01T16:00:00,2018-03-14T16:00:00
ALK,2018-01-25T16:00:00,0.83,0.823,0.9,2017-10-27T16:00:00,2018-03-09T16:00:00
ALL,2018-02-07T16:00:00,2.09,1.497,39.6,2017-11-09T16:00:00,2018-03-22T16:00:00
ALLE,2018-02-20T16:00:00,1.11,0.93,19.4,2017-11-21T16:00:00,2018-04-04T16:00:00
ALXN,2018-02-08T16:00:00,1.48,1.275,16.1,2017-11-10T16:00:00,2018-03-23T16:00:00
AMAT,2017-11-16T16:00:00,0.93,0.904,2.9,2017-08-23T16:00:00,2018-01-02T16:00:00
AMD,2018-01-30T16:00:00,0.08,0.049,63.3,2017-11-01T16:00:00,2018-03-14T16:00:00
AME,2018-02-01T16:00:00,0.7,0.669,4.6,2017-11-03T16:00:00,2018-03-16T16:00:00
AMG,2018-01-29T16:00:00,4.68,4.526,3.4,2017-10-31T16:00:00,2018-03-13T16:00:00
AMGN,2018-02-01T16:00:00,2.89,3.034,-4.7,2017-11-03T16:00:00,2018-03-16T16:00:00
AMP,2018-01-24T16:00:00,1.18,0.937,25.9,2017-10-26T16:00:00,2018-03-08T16:00:00
AMT,2018-02-27T16:00:00,1.65,1.533,7.9,2017-11-29T16:00:00,2018-04-11T16:00:00
AMZN,2018-02-01T16:00:00,2.15,1.834,17.2,2017-11-03T16:00:00,2018-03-16T16:00:00
ANDV,2018-02-15T16:00:00,0.75,1.106,-32.2,2017-11-17T16:00:00,2018-04-02T16:00:00
ANSS,2018-02-21T16:00:00,1.07,1.032,3.7,2017-11-22T16:00:00,2018-04-05T16:00:00
ANTM,2018-01-31T16:00:00,1.29,1.257,2.6,2017-11-02T16:00:00,2018-03-15T16:00:00
AON,2018-02-02T16:00:00,2.34,2.347,-0.3,2017-11-06T16:00:00,2018-03-19T16:00:00
AOS,2018-01-30T16:00:00,0.6,0.563,6.6,2017-11-01T16:00:00,2018-03-14T16:00:00
APA,2018-02-22T16:00:00,0.33,0.242,36.4,2017-11-24T16:00:00,2018-04-06T16:00:00
APC,2018-02-06T16:00:00,0.18,0.034,429.4,2017-11-08T16:00:00,2018-03-21T16:00:00
APD,2017-10-26T16:00:00,1.76,1.683,4.6,2017-08-02T16:00:00,2017-12-08T16:00:00
APH,2018-01-24T16:00:00,0.86,0.815,5.5,2017-10-26T16:00:00,2018-03-08T16:00:00
APTV,2018-02-01T16:00:00,1.28,1.33,-3.8,2017-11-03T16:00:00,2018-03-16T16:00:00
ARE,2018-01-29T16:00:00,1.53,1.538,-0.5,2017-10-31T16:00:00,2018-03-13T16:00:00
ARNC,2018-02-05T16:00:00,0.31,0.256,21.1,2017-11-07T16:00:00,2018-03-20T16:00:00
ATVI,2018-02-08T16:00:00,0.94,0.925,1.6,2017-11-10T16:00:00,2018-03-23T16:00:00
AVB,2018-01-31T16:00:00,2.25,2.247,0.1,2017-11-02T16:00:00,2018-03-15T16:00:00
AVGO,2017-12-06T16:00:00,4.59,4.52,1.5,2017-09-12T16:00:00,2018-01-22T16:00:00
AVY,2018-01-31T16:00:00,1.33,1.249,6.5,2017-11-02T16:00:00,2018-03-15T16:00:00
AWK,2018-02-20T16:00:00,0.69,0.663,4.1,2017-11-21T16:00:00,2018-04-04T16:00:00
AXP,2018-01-18T16:00:00,1.58,1.54,2.6,2017-10-20T16:00:00,2018-03-02T16:00:00
AYI,2017-10-04T16:00:00,2.55,2.435,4.7,2017-07-11T16:00:00,2017-11-15T16:00:00
AZO,2017-09-19T16:00:00,15.27,15.113,1,2017-06-23T16:00:00,2017-10-31T16:00:00
BA,2018-01-31T16:00:00,3.06,2.903,5.4,2017-11-02T16:00:00,2018-03-15T16:00:00
BAC,2018-01-17T16:00:00,0.48,0.445,7,2017-10-19T16:00:00,2018-03-01T16:00:00
BAX,2018-02-01T16:00:00,0.64,0.587,9,2017-11-03T16:00:00,2018-03-16T16:00:00
BBT,2018-01-18T16:00:00,0.84,0.794,5.8,2017-10-20T16:00:00,2018-03-02T16:00:00
BBY,2017-03-01T16:00:00,1.95,1.667,17,2016-12-01T16:00:00,2017-04-12T16:00:00
BDX,2017-11-02T16:00:00,2.4,2.371,1.2,2017-08-09T16:00:00,2017-12-15T16:00:00
BEN,2017-10-26T16:00:00,0.76,0.719,5.7,2017-08-02T16:00:00,2017-12-08T16:00:00
BF-B,2017-06-07T16:00:00,0.3,0.324,-6.2,2017-03-13T16:00:00,2017-07-20T16:00:00
BHF,2018-02-12T16:00:00,0.37,2.118,-82.5,2017-11-14T16:00:00,2018-03-27T16:00:00
BHGE,2018-01-24T16:00:00,0.15,0.139,7.9,2017-10-26T16:00:00,2018-03-08T16:00:00
BIIB,2018-01-25T16:00:00,5.26,5.445,-3.4,2017-10-27T16:00:00,2018-03-09T16:00:00
BK,2018-01-18T16:00:00,0.91,0.905,0.6,2017-10-20T16:00:00,2018-03-02T16:00:00
BKNG,2018-02-27T16:00:00,16.86,14.131,19.3,2017-11-29T16:00:00,2018-04-11T16:00:00
BLK,2018-01-12T16:00:00,6.24,5.984,4.3,2017-10-17T16:00:00,2018-02-27T16:00:00
BLL,2018-02-07T16:00:00,0.6,0.518,15.8,2017-11-09T16:00:00,2018-03-22T16:00:00
BMY,2018-02-05T16:00:00,0.68,0.672,1.2,2017-11-07T16:00:00,2018-03-20T16:00:00
BRK-A,2018-02-24T16:00:00,2029.43,2616.78,-22.4,2017-11-27T16:00:00,2018-04-09T16:00:00
BSX,2018-02-01T16:00:00,0.34,0.348,-2.3,2017-11-03T16:00:00,2018-03-16T16:00:00
BWA,2018-02-08T16:00:00,1.07,1.01,5.9,2017-11-10T16:00:00,2018-03-23T16:00:00
BXP,2018-01-30T16:00:00,1.49,1.465,1.7,2017-11-01T16:00:00,2018-03-14T16:00:00
C,2018-01-16T16:00:00,1.2,1.188,1,2017-10-18T16:00:00,2018-02-28T16:00:00
CA,2017-05-11T16:00:00,0.54,0.492,9.8,2017-02-14T16:00:00,2017-06-23T16:00:00
CAG,2017-06-29T16:00:00,0.37,0.374,-1.1,2017-04-04T16:00:00,2017-08-11T16:00:00
CAH,2017-08-02T16:00:00,1.31,1.244,5.3,2017-05-08T16:00:00,2017-09-14T16:00:00
CAT,2018-01-25T16:00:00,2.16,1.77,22,2017-10-27T16:00:00,2018-03-09T16:00:00
CB,2018-01-30T16:00:00,2.28,2.319,-1.7,2017-11-01T16:00:00,2018-03-14T16:00:00
CBOE,2018-02-09T16:00:00,0.87,0.877,-0.8,2017-11-13T16:00:00,2018-03-26T16:00:00
CBRE,2018-02-08T16:00:00,0.99,0.925,7,2017-11-10T16:00:00,2018-03-23T16:00:00
CBS,2018-02-15T16:00:00,1.15,1.11,3.6,2017-11-17T16:00:00,2018-04-02T16:00:00
CCI,2018-01-24T16:00:00,1.05,0.93,12.9,2017-10-26T16:00:00,2018-03-08T16:00:00
CCL,2017-12-19T16:00:00,0.63,0.507,24.3,2017-09-25T16:00:00,2018-02-02T16:00:00
CDNS,2018-01-31T16:00:00,0.39,0.39,0,2017-11-02T16:00:00,2018-03-15T16:00:00
CELG,2018-01-25T16:00:00,2,2.005,-0.2,2017-10-27T16:00:00,2018-03-09T16:00:00
CERN,2018-02-06T16:00:00,0.58,0.611,-5.1,2017-11-08T16:00:00,2018-03-21T16:00:00
CF,2018-02-14T16:00:00,-0.02,-0.071,71.8,2017-11-16T16:00:00,2018-03-29T16:00:00
CFG,2018-01-19T16:00:00,0.71,0.673,5.5,2017-10-23T16:00:00,2018-03-05T16:00:00
CHD,2018-02-05T16:00:00,0.52,0.501,4.4,2017-11-07T16:00:00,2018-03-20T16:00:00
CHRW,2018-01-30T16:00:00,0.86,0.84,2.2,2017-11-01T16:00:00,2018-03-14T16:00:00
CHTR,2018-02-02T16:00:00,0.77,0.843,-8.5,2017-11-06T16:00:00,2018-03-19T16:00:00
CI,2018-02-01T16:00:00,1.94,1.873,3.6,2017-11-03T16:00:00,2018-03-16T16:00:00
CINF,2018-02-07T16:00:00,0.93,0.862,7.9,2017-11-09T16:00:00,2018-03-22T16:00:00
CL,2018-01-26T16:00:00,0.75,0.756,-0.8,2017-10-30T16:00:00,2018-03-12T16:00:00
CLX,2017-08-03T16:00:00,1.53,1.492,2.6,2017-05-09T16:00:00,2017-09-15T16:00:00
CMA,2018-01-16T16:00:00,1.28,1.229,4.1,2017-10-18T16:00:00,2018-02-28T16:00:00
CMCSA,2018-01-24T16:00:00,0.49,0.469,4.5,2017-10-26T16:00:00,2018-03-08T16:00:00
CME,2018-02-01T16:00:00,1.12,1.095,2.3,2017-11-03T16:00:00,2018-03-16T16:00:00
CMG,2018-02-06T16:00:00,1.34,1.325,1.5,2017-11-08T16:00:00,2018-03-21T16:00:00
CMI,2018-02-06T16:00:00,3.03,2.675,13.3,2017-11-08T16:00:00,2018-03-21T16:00:00
CMS,2018-02-14T16:00:00,0.51,0.514,-0.8,2017-11-16T16:00:00,2018-03-29T16:00:00
CNC,2018-02-06T16:00:00,0.97,0.929,4.4,2017-11-08T16:00:00,2018-03-21T16:00:00
CNP,2018-02-22T16:00:00,0.33,0.298,9.7,2017-11-24T16:00:00,2018-04-06T16:00:00
COF,2018-01-23T16:00:00,1.62,1.872,-13.5,2017-10-25T16:00:00,2018-03-07T16:00:00
COG,2018-02-23T16:00:00,0.13,0.113,15,2017-11-27T16:00:00,2018-04-09T16:00:00
COL,2017-10-27T16:00:00,1.8,1.79,0.6,2017-08-03T16:00:00,2017-12-11T16:00:00
COO,2017-12-07T16:00:00,2.65,2.643,0.3,2017-09-13T16:00:00,2018-01-23T16:00:00
COP,2018-02-01T16:00:00,0.45,0.439,2.5,2017-11-03T16:00:00,2018-03-16T16:00:00
COST,2017-10-05T16:00:00,2.08,2.017,3.3,2017-07-12T16:00:00,2017-11-16T16:00:00
COTY,2017-08-22T16:00:00,0,0.091,-100,2017-05-26T16:00:00,2017-10-04T16:00:00
CPB,2017-08-31T16:00:00,0.52,0.551,-5.6,2017-06-07T16:00:00,2017-10-13T16:00:00
CRM,2017-02-28T16:00:00,0.28,0.248,12.9,2016-11-30T16:00:00,2017-04-11T16:00:00
CSCO,2017-08-16T16:00:00,0.61,0.606,0.7,2017-05-22T16:00:00,2017-09-28T16:00:00
CSX,2018-01-16T16:00:00,0.64,0.563,13.7,2017-10-18T16:00:00,2018-02-28T16:00:00
CTAS,2017-07-20T16:00:00,1.25,1.107,12.9,2017-04-25T16:00:00,2017-08-31T16:00:00
CTL,2018-02-14T16:00:00,0.18,0.292,-38.4,2017-11-16T16:00:00,2018-03-29T16:00:00
CTSH,2018-02-07T16:00:00,1.03,0.966,6.6,2017-11-09T16:00:00,2018-03-22T16:00:00
CTXS,2018-01-31T16:00:00,1.66,1.601,3.7,2017-11-02T16:00:00,2018-03-15T16:00:00
CVS,2018-02-08T16:00:00,1.92,1.886,1.8,2017-11-10T16:00:00,2018-03-23T16:00:00
CVX,2018-02-02T16:00:00,0.67,1.223,-45.1,2017-11-06T16:00:00,2018-03-19T16:00:00
CXO,2018-02-20T16:00:00,0.66,0.453,45.7,2017-11-21T16:00:00,2018-04-04T16:00:00
D,2018-01-29T16:00:00,0.91,0.892,2,2017-10-31T16:00:00,2018-03-13T16:00:00
DAL,2018-01-11T16:00:00,0.96,0.874,9.8,2017-10-16T16:00:00,2018-02-26T16:00:00
DE,2017-11-22T16:00:00,1.57,1.469,6.9,2017-08-29T16:00:00,2018-01-08T16:00:00
DFS,2018-01-24T16:00:00,1.56,1.542,1,2017-10-26T16:00:00,2018-03-08T16:00:00
DG,2017-03-16T16:00:00,1.49,1.413,5.8,2016-12-16T16:00:00,2017-04-28T16:00:00
DGX,2018-02-01T16:00:00,1.4,1.374,1.9,2017-11-03T16:00:00,2018-03-16T16:00:00
DHI,2017-11-09T16:00:00,0.82,0.814,1.3,2017-08-16T16:00:00,2017-12-22T16:00:00
DHR,2018-01-30T16:00:00,1.19,1.158,2.8,2017-11-01T16:00:00,2018-03-14T16:00:00
DIS,2017-11-09T16:00:00,1.07,1.141,-6.2,2017-08-16T16:00:00,2017-12-22T16:00:00
DISCA,2018-02-27T16:00:00,0.47,0.411,14.4,2017-11-29T16:00:00,2018-04-11T16:00:00
DISH,2018-02-21T16:00:00,0.53,0.568,-6.5,2017-11-22T16:00:00,2018-04-05T16:00:00
DLR,2018-02-15T16:00:00,1.55,1.509,2.7,2017-11-17T16:00:00,2018-04-02T16:00:00
DLTR,2017-03-01T16:00:00,1.42,1.318,7.5,2016-12-01T16:00:00,2017-04-12T16:00:00
DOV,2018-01-30T16:00:00,1.13,1.043,8.3,2017-11-01T16:00:00,2018-03-14T16:00:00
DPS,2018-02-14T16:00:00,1.34,1.159,15.9,2017-11-16T16:00:00,2018-03-29T16:00:00
DRE,2018-01-31T16:00:00,0.3,0.3,0,2017-11-02T16:00:00,2018-03-15T16:00:00
DRI,2017-06-27T16:00:00,1.18,1.154,2.3,2017-03-31T16:00:00,2017-08-09T16:00:00
DTE,2018-02-16T16:00:00,1.26,1.189,6,2017-11-20T16:00:00,2018-04-03T16:00:00
DUK,2018-02-20T16:00:00,0.94,0.92,2.2,2017-11-21T16:00:00,2018-04-04T16:00:00
DVA,2018-02-13T16:00:00,0.92,0.923,-0.3,2017-11-15T16:00:00,2018-03-28T16:00:00
DVN,2018-02-20T16:00:00,0.38,0.624,-39.1,2017-11-21T16:00:00,2018-04-04T16:00:00
DWDP,2018-02-01T16:00:00,0.83,0.671,23.7,2017-11-03T16:00:00,2018-03-16T16:00:00
DXC,2017-05-25T16:00:00,1.15,0.827,39.1,2017-03-01T16:00:00,2017-07-10T16:00:00
EA,2017-05-09T16:00:00,0.85,0.747,13.3,2017-02-10T16:00:00,2017-06-21T16:00:00
EBAY,2018-01-31T16:00:00,0.59,0.586,0.7,2017-11-02T16:00:00,2018-03-15T16:00:00
ECL,2018-02-20T16:00:00,1.39,1.396,-0.4,2017-11-21T16:00:00,2018-04-04T16:00:00
ED,2018-02-15T16:00:00,0.8,0.774,3.4,2017-11-17T16:00:00,2018-04-02T16:00:00
EFX,2018-03-01T16:00:00,1.39,1.353,2.7,2017-12-01T16:00:00,2018-04-13T16:00:00
EIX,2018-02-22T16:00:00,1.1,0.916,20.1,2017-11-24T16:00:00,2018-04-06T16:00:00
EL,2017-08-18T16:00:00,0.51,0.431,18.3,2017-05-24T16:00:00,2017-10-02T16:00:00
EMN,2018-02-01T16:00:00,1.62,1.059,53,2017-11-03T16:00:00,2018-03-16T16:00:00
EMR,2017-11-07T16:00:00,0.81,0.819,-1.4,2017-08-14T16:00:00,2017-12-20T16:00:00
EOG,2018-02-27T16:00:00,0.69,0.529,30.4,2017-11-29T16:00:00,2018-04-11T16:00:00
EQIX,2018-02-14T16:00:00,3.61,3.87,-6.7,2017-11-16T16:00:00,2018-03-29T16:00:00
EQR,2018-01-30T16:00:00,0.82,0.812,1,2017-11-01T16:00:00,2018-03-14T16:00:00
EQT,2018-02-15T16:00:00,0.76,0.233,226.2,2017-11-17T16:00:00,2018-04-02T16:00:00
ES,2018-02-22T16:00:00,0.75,0.752,-0.8,2017-11-24T16:00:00,2018-04-06T16:00:00
